Section|Kind|DN|NPS|O|tf|X|Ah|YSlip|YWeldingNeck|BSlip|BWeldingNeck|K|H|Bolts|RfStudLength|RfMachineLength|A|D|G|BoltThread
Class 150 Flanges to ASME B16.5|ASME|15|1/2|90|9.6|30|21.3|14|46|22.2|15.8|60.3|15.9|4|55|50||||
Class 150 Flanges to ASME B16.5|ASME|20|3/4|100|11.2|38|26.7|14|51|27.7|20.9|69.9|15.9|4|65|50||||
Class 150 Flanges to ASME B16.5|ASME|25|1|110|12.7|49|33.4|16|54|34.5|26.6|79.4|15.9|4|65|55||||
Class 150 Flanges to ASME B16.5|ASME|32|1 1/4|115|14.3|69|42.2|19|56|43.2|35.1|88.9|15.9|4|70|55||||
Class 150 Flanges to ASME B16.5|ASME|40|1 1/2|125|15.9|65|48.3|21|60|49.5|40.9|98.4|15.9|4|70|65||||
Class 150 Flanges to ASME B16.5|ASME|50|2|150|17.5|78|60.3|24|62|61.9|52.5|120.7|19.1|4|85|70||||
Class 150 Flanges to ASME B16.5|ASME|65|2 1/2|180|20.7|90|73.0|27|68|76.6|62.7|139.7|19.1|4|90|75||||
Class 150 Flanges to ASME B16.5|ASME|80|3|190|22.3|108|88.9|29|68|90.7|77.9|152.4|19.1|4|90|75||||
Class 150 Flanges to ASME B16.5|ASME|90|3 1/2|215|22.3|122|101.6|30|70|103.4|90.1|177.8|19.1|8|90|75||||
Class 150 Flanges to ASME B16.5|ASME|100|4|230|22.3|135|114.3|32|75|116.1|102.3|190.5|19.1|8|90|75||||
Class 150 Flanges to ASME B16.5|ASME|125|5|255|22.3|164|141.3|35|87|143.8|128.2|215.9|22.2|8|95|85||||
Class 150 Flanges to ASME B16.5|ASME|150|6|280|23.9|192|168.3|38|87|170.7|154.1|241.3|22.2|8|100|85||||
Class 150 Flanges to ASME B16.5|ASME|200|8|345|27.0|246|219.1|43|100|221.5|202.7|298.5|22.2|8|110|90||||
Class 150 Flanges to ASME B16.5|ASME|250|10|405|28.6|305|273.0|48|100|276.2|254.6|362.0|25.4|12|115|100||||
Class 150 Flanges to ASME B16.5|ASME|300|12|485|30.2|365|323.8|54|113|327.0|304.8|431.8|25.4|12|120|100||||
Class 150 Flanges to ASME B16.5|ASME|350|14|535|33.4|400|355.6|56|125|359.2|Note (1)|476.3|28.6|12|135|115||||
Class 150 Flanges to ASME B16.5|ASME|400|16|595|35.0|457|406.4|62|125|410.5|Note (1)|539.8|28.6|16|135|115||||
Class 150 Flanges to ASME B16.5|ASME|450|18|635|38.1|505|457.0|67|138|461.8|Note (1)|577.9|31.8|16|145|125||||
Class 150 Flanges to ASME B16.5|ASME|500|20|700|41.3|559|508.0|71|143|513.1|Note (1)|635.0|31.8|20|160|140||||
Class 150 Flanges to ASME B16.5|ASME|600|24|815|46.1|663|610.0|81|151|616.0|Note (1)|749.3|34.9|20|170|150||||
Class 300 Flanges to ASME B16.5|ASME|15|1/2|95|12.7|38|21.3|21|51|22.2|15.8|66.7|15.9|4|65|55||||
Class 300 Flanges to ASME B16.5|ASME|20|3/4|115|14.3|48|26.7|24|56|27.7|20.9|82.6|19.1|4|75|65||||
Class 300 Flanges to ASME B16.5|ASME|25|1|125|15.9|54|33.4|25|60|34.5|26.6|88.9|19.1|4|75|65||||
Class 300 Flanges to ASME B16.5|ASME|32|1 1/4|135|17.5|64|42.2|25|64|43.2|35.1|98.4|19.1|4|85|70||||
Class 300 Flanges to ASME B16.5|ASME|40|1 1/2|155|19.1|70|48.3|29|67|49.5|40.9|114.3|22.2|4|90|75||||
Class 300 Flanges to ASME B16.5|ASME|50|2|165|20.7|84|60.3|32|68|61.9|52.5|127.0|19.1|8|90|75||||
Class 300 Flanges to ASME B16.5|ASME|65|2 1/2|190|23.9|100|73.0|37|75|74.6|62.7|149.2|22.2|8|100|85||||
Class 300 Flanges to ASME B16.5|ASME|80|3|210|27.0|117|88.9|41|78|90.7|77.9|168.3|22.2|8|110|90||||
Class 300 Flanges to ASME B16.5|ASME|90|3 1/2|230|28.6|133|101.6|43|79|103.4|90.1|184.2|22.2|8|110|95||||
Class 300 Flanges to ASME B16.5|ASME|100|4|255|30.2|146|114.3|46|84|116.1|102.3|200.0|22.2|8|115|95||||
Class 300 Flanges to ASME B16.5|ASME|125|5|280|33.4|178|141.3|49|97|143.8|128.2|235.0|22.2|8|120|110||||
Class 300 Flanges to ASME B16.5|ASME|150|6|320|35.0|206|168.3|51|97|170.7|154.1|269.9|22.2|12|120|110||||
Class 300 Flanges to ASME B16.5|ASME|200|8|380|39.7|260|219.1|60|110|221.5|202.7|330.2|25.4|12|140|120||||
Class 300 Flanges to ASME B16.5|ASME|250|10|445|46.1|321|273.0|65|116|276.2|254.6|387.4|28.6|16|160|140||||
Class 300 Flanges to ASME B16.5|ASME|300|12|520|49.3|375|323.8|71|129|327.0|304.8|450.8|31.8|16|170|145||||
Class 300 Flanges to ASME B16.5|ASME|350|14|585|52.4|425|355.6|75|141|359.2|Note (1)|514.4|31.8|20|180|160||||
Class 300 Flanges to ASME B16.5|ASME|400|16|650|55.6|483|406.4|81|144|410.5|Note (1)|571.5|34.9|20|190|165||||
Class 300 Flanges to ASME B16.5|ASME|450|18|710|58.8|533|457.0|87|157|461.8|Note (1)|628.6|34.9|24|195|170||||
Class 300 Flanges to ASME B16.5|ASME|500|20|775|62.0|587|508.0|94|160|513.1|Note (1)|685.8|34.9|24|205|185||||
Class 300 Flanges to ASME B16.5|ASME|600|24|915|68.3|702|610.0|105|167|616.0|Note (1)|812.8|41.3|24|230|205||||
Class 600 Flanges to ASME B16.5|ASME|15|1/2|95|14.3|38|21.3|22|52|22.2|Note (1)|66.7|15.9|4|75|||||
Class 600 Flanges to ASME B16.5|ASME|20|3/4|115|15.9|48|26.7|25|57|27.7|Note (1)|82.6|19.1|4|90|||||
Class 600 Flanges to ASME B16.5|ASME|25|1|125|17.5|54|33.4|27|62|34.5|Note (1)|88.9|19.1|4|90|||||
Class 600 Flanges to ASME B16.5|ASME|32|1 1/4|135|20.7|64|42.2|29|67|43.2|Note (1)|98.4|19.1|4|95|||||
Class 600 Flanges to ASME B16.5|ASME|40|1 1/2|155|22.3|70|48.3|32|70|49.5|Note (1)|114.3|22.2|4|110|||||
Class 600 Flanges to ASME B16.5|ASME|50|2|165|25.4|84|60.3|37|73|61.9|Note (1)|127.0|19.1|8|110|||||
Class 600 Flanges to ASME B16.5|ASME|65|2 1/2|190|28.6|100|73.0|41|79|74.6|Note (1)|149.2|22.2|8|120|||||
Class 600 Flanges to ASME B16.5|ASME|80|3|210|31.8|117|88.9|46|83|90.7|Note (1)|168.3|22.2|8|125|||||
Class 600 Flanges to ASME B16.5|ASME|90|3 1/2|230|35.0|133|101.6|49|86|103.4|Note (1)|184.2|25.4|8|140|||||
Class 600 Flanges to ASME B16.5|ASME|100|4|275|38.1|152|114.3|54|102|116.1|Note (1)|215.9|25.4|8|145|||||
Class 600 Flanges to ASME B16.5|ASME|125|5|330|44.5|189|141.3|60|114|143.8|Note (1)|266.7|28.6|8|165|||||
Class 600 Flanges to ASME B16.5|ASME|150|6|355|47.7|222|168.3|67|117|170.7|Note (1)|292.1|28.6|12|170|||||
Class 600 Flanges to ASME B16.5|ASME|200|8|420|55.6|273|219.1|76|133|221.5|Note (1)|349.2|31.8|12|190|||||
Class 600 Flanges to ASME B16.5|ASME|250|10|510|63.5|343|273.0|86|152|276.2|Note (1)|431.8|34.9|16|215|||||
Class 600 Flanges to ASME B16.5|ASME|300|12|560|66.7|400|323.8|92|156|327.0|Note (1)|489.0|34.9|20|220|||||
Class 600 Flanges to ASME B16.5|ASME|350|14|605|69.9|432|355.6|94|165|359.2|Note (1)|527.0|38.1|20|235|||||
Class 600 Flanges to ASME B16.5|ASME|400|16|685|76.2|495|406.4|106|178|410.5|Note (1)|603.2|41.3|20|255|||||
Class 600 Flanges to ASME B16.5|ASME|450|18|745|82.6|546|457.0|117|184|461.8|Note (1)|654.0|44.5|20|275|||||
Class 600 Flanges to ASME B16.5|ASME|500|20|815|88.9|610|508.0|127|190|513.1|Note (1)|723.9|44.5|24|285|||||
Class 600 Flanges to ASME B16.5|ASME|600|24|940|101.6|718|610.0|140|203|616.0|Note (1)|838.2|50.8|24|330|||||
Class 900 Flanges to ASME B16.5|ASME|15|1/2|120|22.3|38|21.3|32|60|22.2|Note (1)|82.6|22.2|4|110|||||
Class 900 Flanges to ASME B16.5|ASME|20|3/4|130|25.4|44|26.7|35|70|27.7|Note (1)|88.9|22.2|4|115|||||
Class 900 Flanges to ASME B16.5|ASME|25|1|150|28.6|52|33.4|41|73|34.5|Note (1)|101.6|25.4|4|125|||||
Class 900 Flanges to ASME B16.5|ASME|32|1 1/4|160|28.6|64|42.2|41|73|43.2|Note (1)|111.1|25.4|4|125|||||
Class 900 Flanges to ASME B16.5|ASME|40|1 1/2|180|31.8|70|48.3|44|88|49.5|Note (1)|123.8|28.6|4|140|||||
Class 900 Flanges to ASME B16.5|ASME|50|2|215|38.1|105|60.3|57|102|61.9|Note (1)|165.1|25.4|8|145|||||
Class 900 Flanges to ASME B16.5|ASME|65|2 1/2|245|41.3|124|73.0|64|105|74.6|Note (1)|190.5|28.6|8|160|||||
Class 900 Flanges to ASME B16.5|ASME|80|3|240|38.1|127|88.9|54|102|90.7|Note (1)|190.5|25.4|8|145|||||
Class 900 Flanges to ASME B16.5|ASME|100|4|290|44.5|159|114.3|70|114|116.1|Note (1)|235.0|31.8|8|170|||||
Class 900 Flanges to ASME B16.5|ASME|125|5|350|50.8|190|141.3|79|127|143.8|Note (1)|279.4|34.9|8|190|||||
Class 900 Flanges to ASME B16.5|ASME|150|6|380|55.6|235|168.3|86|140|170.7|Note (1)|317.5|31.8|12|190|||||
Class 900 Flanges to ASME B16.5|ASME|200|8|470|63.5|298|219.1|102|162|221.5|Note (1)|393.7|38.1|12|220|||||
Class 900 Flanges to ASME B16.5|ASME|250|10|545|69.9|368|273.0|108|184|276.2|Note (1)|469.9|38.1|16|235|||||
Class 900 Flanges to ASME B16.5|ASME|300|12|610|79.4|419|323.8|117|200|327.0|Note (1)|533.4|38.1|20|255|||||
Class 900 Flanges to ASME B16.5|ASME|350|14|640|85.8|451|355.6|130|213|359.2|Note (1)|558.8|41.3|20|275|||||
Class 900 Flanges to ASME B16.5|ASME|400|16|705|88.9|508|406.4|133|216|410.5|Note (1)|616.0|44.5|20|285|||||
Class 900 Flanges to ASME B16.5|ASME|450|18|785|101.6|565|457.0|152|229|461.8|Note (1)|685.8|50.8|20|325|||||
Class 900 Flanges to ASME B16.5|ASME|500|20|855|108.0|622|508.0|159|248|513.1|Note (1)|749.3|54.0|20|350|||||
Class 900 Flanges to ASME B16.5|ASME|600|24|1040|139.7|749|610.0|203|292|616.0|Note (1)|901.7|66.7|20|440|||||
Class 1500 Flanges to ASME B16.5|ASME|15|1/2|120|22.3|38|21.3|32|60|22.2|Note (1)|82.6|22.2|4|110|||||
Class 1500 Flanges to ASME B16.5|ASME|20|3/4|130|25.4|44|26.7|35|70|27.7|Note (1)|88.9|22.2|4|115|||||
Class 1500 Flanges to ASME B16.5|ASME|25|1|150|28.6|52|33.4|41|73|34.5|Note (1)|101.6|25.4|4|125|||||
Class 1500 Flanges to ASME B16.5|ASME|32|1 1/4|160|28.6|64|42.2|41|73|43.2|Note (1)|111.1|25.4|4|125|||||
Class 1500 Flanges to ASME B16.5|ASME|40|1 1/2|180|31.8|70|48.3|44|88|49.5|Note (1)|123.8|28.6|4|140|||||
Class 1500 Flanges to ASME B16.5|ASME|50|2|215|38.1|105|60.3|57|102|61.9|Note (1)|165.1|25.4|8|145|||||
Class 1500 Flanges to ASME B16.5|ASME|65|2 1/2|245|41.3|124|73.0|64|105|74.6|Note (1)|190.5|28.6|8|160|||||
Class 1500 Flanges to ASME B16.5|ASME|80|3|265|47.7|133|88.9||117||Note (1)|203.2|31.8|8|180|||||
Class 1500 Flanges to ASME B16.5|ASME|100|4|310|54.0|162|114.3||124||Note (1)|241.3|34.9|8|195|||||
Class 1500 Flanges to ASME B16.5|ASME|125|5|375|73.1|197|141.3||156||Note (1)|292.1|41.3|8|250|||||
Class 1500 Flanges to ASME B16.5|ASME|150|6|395|82.6|229|168.3||171||Note (1)|317.5|38.1|12|260|||||
Class 1500 Flanges to ASME B16.5|ASME|200|8|485|92.1|292|219.1||213||Note (1)|393.7|44.5|12|290|||||
Class 1500 Flanges to ASME B16.5|ASME|250|10|585|108.0|368|273.0||254||Note (1)|482.6|50.8|12|335|||||
Class 1500 Flanges to ASME B16.5|ASME|300|12|675|123.9|451|323.8||283||Note (1)|571.5|54.0|16|375|||||
Class 1500 Flanges to ASME B16.5|ASME|350|14|750|133.4|495|355.6||298||Note (1)|635.0|60.3|16|405|||||
Class 1500 Flanges to ASME B16.5|ASME|400|16|825|146.1|552|406.4||311||Note (1)|704.8|66.7|16|445|||||
Class 1500 Flanges to ASME B16.5|ASME|450|18|915|162.0|597|457.0||327||Note (1)|774.7|73.0|16|495|||||
Class 1500 Flanges to ASME B16.5|ASME|500|20|985|177.8|641|508.0||356||Note (1)|831.8|79.4|16|540|||||
Class 1500 Flanges to ASME B16.5|ASME|600|24|1170|203.2|762|610.0||406||Note (1)|990.6|92.1|16|615|||||
Class 2500 Flanges to ASME B16.5|ASME|15|1/2|135|30.2|43|21.3|40|73|22.9|Note (1)|88.9|22.2|4|120|||||
Class 2500 Flanges to ASME B16.5|ASME|20|3/4|140|31.8|51|26.7|43|79|28.2|Note (1)|95.2|22.2|4|125|||||
Class 2500 Flanges to ASME B16.5|ASME|25|1|160|35.0|57|33.4|48|89|34.9|Note (1)|108.0|25.4|4|140|||||
Class 2500 Flanges to ASME B16.5|ASME|32|1 1/4|185|38.1|73|42.2|52|95|43.7|Note (1)|130.2|28.6|4|150|||||
Class 2500 Flanges to ASME B16.5|ASME|40|1 1/2|205|44.5|79|48.3|60|111|50.0|Note (1)|146.0|31.8|4|170|||||
Class 2500 Flanges to ASME B16.5|ASME|50|2|235|50.9|95|60.3|70|127|62.5|Note (1)|171.4|28.6|8|180|||||
Class 2500 Flanges to ASME B16.5|ASME|65|2 1/2|265|57.2|114|73.0|79|143|75.4|Note (1)|196.8|31.8|8|195|||||
Class 2500 Flanges to ASME B16.5|ASME|80|3|305|66.7|133|88.9|92|168|91.4|Note (1)|228.6|34.9|8|220|||||
Class 2500 Flanges to ASME B16.5|ASME|100|4|355|76.2|165|114.3|108|190|116.8|Note (1)|273.0|41.3|8|255|||||
Class 2500 Flanges to ASME B16.5|ASME|125|5|420|92.1|203|141.3|130|229|144.4|Note (1)|323.8|47.6|8|300|||||
Class 2500 Flanges to ASME B16.5|ASME|150|6|485|108.0|235|168.3|152|273|171.4|Note (1)|368.3|54.0|8|345|||||
Class 2500 Flanges to ASME B16.5|ASME|200|8|550|127.0|305|219.1|178|318|222.2|Note (1)|438.2|54.0|12|380|||||
Class 2500 Flanges to ASME B16.5|ASME|250|10|675|165.1|375|273.0|229|419|277.4|Note (1)|539.8|66.7|12|490|||||
Class 2500 Flanges to ASME B16.5|ASME|300|12|760|184.2|441|323.8|254|464|328.2|Note (1)|619.1|73.0|12|540|||||
Table D Flanges to AS 2129|AS2129|15||||||||||67|14|4|||95|5|47|M12
Table D Flanges to AS 2129|AS2129|20||||||||||73|14|4|||100|5|53|M12
Table D Flanges to AS 2129|AS2129|25||||||||||83|14|4|||115|5|65|M12
Table D Flanges to AS 2129|AS2129|32||||||||||87|14|4|||120|6|67|M12
Table D Flanges to AS 2129|AS2129|40||||||||||98|14|4|||135|6|78|M12
Table D Flanges to AS 2129|AS2129|50||||||||||114|18|4|||150|8|90|M16
Table D Flanges to AS 2129|AS2129|65||||||||||127|18|4|||165|8|103|M16
Table D Flanges to AS 2129|AS2129|80||||||||||146|18|4|||185|10|122|M16
Table D Flanges to AS 2129|AS2129|90||||||||||165|18|4|||205|10|141|M16
Table D Flanges to AS 2129|AS2129|100||||||||||178|18|4|||215|10|154|M16
Table D Flanges to AS 2129|AS2129|125||||||||||210|18|8|||255|13|186|M16
Table D Flanges to AS 2129|AS2129|150||||||||||235|18|8|||280|13|211|M16
Table D Flanges to AS 2129|AS2129|200||||||||||292|18|8|||335|13|268|M16
Table D Flanges to AS 2129|AS2129|250||||||||||356|22|8|||405|16|328|M20
Table D Flanges to AS 2129|AS2129|300||||||||||406|22|12|||455|19|378|M20
Table D Flanges to AS 2129|AS2129|350||||||||||470|26|12|||525|22|438|M24
Table D Flanges to AS 2129|AS2129|400||||||||||521|26|12|||580|22|489|M24
Table D Flanges to AS 2129|AS2129|450||||||||||584|26|12|||640|25|532|M24
Table D Flanges to AS 2129|AS2129|500||||||||||641|26|16|||705|29|609|M24
Table D Flanges to AS 2129|AS2129|550||||||||||699|30|16|||760|29|637|M27
Table D Flanges to AS 2129|AS2129|600||||||||||756|30|16|||825|32|720|M27
Table D Flanges to AS 2129|AS2129|700||||||||||845|30|20|||910|35|809|M27
Table D Flanges to AS 2129|AS2129|750||||||||||927|33|20|||995|41|888|M30
Table D Flanges to AS 2129|AS2129|800||||||||||984|36|20|||1060|41|942|M33
Table D Flanges to AS 2129|AS2129|850||||||||||1016|36|20|||1090|44|974|M33
Table D Flanges to AS 2129|AS2129|900||||||||||1092|36|24|||1175|48|1050|M33
Table D Flanges to AS 2129|AS2129|1000||||||||||1175|36|24|||1255|51|1133|M33
Table D Flanges to AS 2129|AS2129|1200||||||||||1410|36|32|||1490|60|1368|M33
Table E Flanges to AS 2129|AS2129|15||||||||||67|14|4|||95|6|47|M12
Table E Flanges to AS 2129|AS2129|20||||||||||73|14|4|||100|6|53|M12
Table E Flanges to AS 2129|AS2129|25||||||||||83|14|4|||115|7|63|M12
Table E Flanges to AS 2129|AS2129|32||||||||||87|14|4|||120|8|67|M12
Table E Flanges to AS 2129|AS2129|40||||||||||98|14|4|||135|9|78|M12
Table E Flanges to AS 2129|AS2129|50||||||||||114|18|4|||150|10|90|M16
Table E Flanges to AS 2129|AS2129|65||||||||||127|18|4|||165|10|103|M16
Table E Flanges to AS 2129|AS2129|80||||||||||146|18|4|||185|11|122|M16
Table E Flanges to AS 2129|AS2129|90||||||||||165|18|8|||205|12|141|M16
Table E Flanges to AS 2129|AS2129|100||||||||||178|18|8|||215|13|154|M16
Table E Flanges to AS 2129|AS2129|125||||||||||210|18|8|||255|14|186|M16
Table E Flanges to AS 2129|AS2129|150||||||||||235|22|8|||280|17|207|M20
Table E Flanges to AS 2129|AS2129|200||||||||||292|22|8|||335|19|264|M20
Table E Flanges to AS 2129|AS2129|250||||||||||356|22|12|||405|22|328|M20
Table E Flanges to AS 2129|AS2129|300||||||||||406|26|12|||455|25|374|M24
Table E Flanges to AS 2129|AS2129|350||||||||||470|26|12|||525|29|438|M24
Table E Flanges to AS 2129|AS2129|400||||||||||521|26|12|||580|32|489|M24
Table E Flanges to AS 2129|AS2129|450||||||||||584|26|16|||640|35|552|M24
Table E Flanges to AS 2129|AS2129|500||||||||||641|26|16|||705|38|609|M24
Table E Flanges to AS 2129|AS2129|550||||||||||699|30|16|||760|44|663|M27
Table E Flanges to AS 2129|AS2129|600||||||||||756|33|16|||825|48|717|M30
Table E Flanges to AS 2129|AS2129|700||||||||||845|33|20|||910|51|806|M30
Table E Flanges to AS 2129|AS2129|750||||||||||927|36|20|||995|54|885|M33
Table E Flanges to AS 2129|AS2129|800||||||||||984|36|20|||1060|54|942|M33
Table E Flanges to AS 2129|AS2129|850||||||||||1016|36|20|||1090|57|974|M33
Table E Flanges to AS 2129|AS2129|900||||||||||1092|36|24|||1175|64|1050|M33
Table E Flanges to AS 2129|AS2129|1000||||||||||1175|39|24|||1255|67|1130|M36
Table E Flanges to AS 2129|AS2129|1200||||||||||1410|39|32|||1490|79|1365|M36
